관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : K LEAGUE,KBO  리그 : K LEAGUE 1  시즌 : 2017,2018,2019,2020,2021  시즌구분  : RL  팀 : FC 서울,전북 현대,대구 FC,울산 현대,수원 삼성,두산,LG,롯데, SSG,NC  구단구분 : HOME     요일 : 전체   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2021 시즌,2021,07,02,금,LG,한화,서울 잠실 야구장,구름많음,31.8℃,4589
KBO,정규리그,2021 시즌,2021,07,02,금,NC,삼성,창원NC파크,구름많음,30.6℃,3608
KBO,정규리그,2021 시즌,2021,07,02,금, SSG,롯데,인천SSG 랜더스필드,구름조금,31.2℃,4529
KBO,정규리그,2021 시즌,2021,07,01,목,LG,KT,서울 잠실 야구장,맑음,31℃,2919
KBO,정규리그,2021 시즌,2021,07,01,목, SSG,삼성,인천SSG 랜더스필드,구름조금,29.3℃,3239
KBO,정규리그,2021 시즌,2021,06,30,수, SSG,삼성,인천SSG 랜더스필드,구름많음,28℃,2886
KBO,정규리그,2021 시즌,2021,06,30,수,LG,KT,서울 잠실 야구장,비,28.8℃,2851
KBO,정규리그,2021 시즌,2021,06,30,수, SSG,삼성,인천SSG 랜더스필드,구름많음,28℃,0
KBO,정규리그,2021 시즌,2021,06,29,화, SSG,삼성,인천SSG 랜더스필드,구름많음,27.9℃,3120
KBO,정규리그,2021 시즌,2021,06,27,일,NC, SSG,창원NC파크,구름조금,29.9℃,2771
KBO,정규리그,2021 시즌,2021,06,26,토,두산,롯데,서울 잠실 야구장,비,26.7℃,5297
KBO,정규리그,2021 시즌,2021,06,26,토,NC, SSG,창원NC파크,비,27℃,3576
KBO,정규리그,2021 시즌,2021,06,25,금,두산,롯데,서울 잠실 야구장,구름조금,29.5℃,3558
KBO,정규리그,2021 시즌,2021,06,25,금,NC, SSG,창원NC파크,구름많음,29.4℃,2375
