날짜,요일,경기장,날씨,평균기온,관중수,확진자 수
2017-03-31,금,서울 잠실 야구장,비,12.4℃,21121,0
2017-04-01,토,서울 잠실 야구장,비,15.1℃,20636,0
2017-04-02,일,서울 잠실 야구장,맑음,15.8℃,22457,0
2017-04-04,화,서울 잠실 야구장,구름조금,21.8℃,16411,0
2017-04-06,목,서울 잠실 야구장,비,12.4℃,12166,0
2017-04-07,금,서울 잠실 야구장,구름많음,23.5℃,10027,0
2017-04-08,토,서울 잠실 야구장,비,19.9℃,15278,0
2017-04-09,일,서울 잠실 야구장,비,20.5℃,13177,0
2017-04-11,화,서울 잠실 야구장,구름조금,20.2℃,14895,0
2017-04-12,수,서울 잠실 야구장,맑음,16.4℃,13649,0
2017-04-13,목,서울 잠실 야구장,구름조금,19.6℃,16213,0
2017-04-14,금,서울 잠실 야구장,비,17.7℃,9710,0
2017-04-15,토,서울 잠실 야구장,구름조금,24.3℃,17337,0
2017-04-16,일,서울 잠실 야구장,흐림,24.4℃,15224,0
2017-04-18,화,서울 잠실 야구장,비,17.4℃,6391,0
2017-04-19,수,서울 잠실 야구장,맑음,18.4℃,8062,0
2017-04-20,목,서울 잠실 야구장,비,18.2℃,8509,0
2017-04-21,금,서울 잠실 야구장,구름조금,19.3℃,23263,0
2017-04-22,토,서울 잠실 야구장,맑음,22.5℃,25000,0
2017-04-23,일,서울 잠실 야구장,맑음,21.7℃,25000,0
2017-04-25,화,서울 잠실 야구장,흐림,20.4℃,10004,0
2017-04-26,수,서울 잠실 야구장,맑음,20.2℃,10730,0
2017-04-27,목,서울 잠실 야구장,맑음,19.8℃,11111,0
2017-04-28,금,서울 잠실 야구장,구름조금,21.5℃,22131,0
2017-04-29,토,서울 잠실 야구장,맑음,23.7℃,25000,0
2017-04-30,일,서울 잠실 야구장,맑음,27.8℃,25000,0
2017-05-02,화,서울 잠실 야구장,구름조금,28℃,14887,0
2017-05-03,수,서울 잠실 야구장,맑음,30.2℃,20180,0
2017-05-04,목,서울 잠실 야구장,구름많음,27.5℃,18843,0
2017-05-05,금,서울 잠실 야구장,구름조금,27℃,25000,0
2017-05-06,토,서울 잠실 야구장,맑음,19.3℃,21920,0
2017-05-07,일,서울 잠실 야구장,맑음,22.8℃,21273,0
2017-05-10,수,서울 잠실 야구장,비,20.8℃,7516,0
2017-05-11,목,서울 잠실 야구장,흐림,24.8℃,8531,0
2017-05-12,금,서울 잠실 야구장,흐림,21.1℃,20357,0
2017-05-13,토,서울 잠실 야구장,비,22.6℃,22063,0
2017-05-14,일,서울 잠실 야구장,맑음,20.7℃,24223,0
2017-05-16,화,서울 잠실 야구장,구름많음,22.3℃,9078,0
2017-05-17,수,서울 잠실 야구장,맑음,25.9℃,9290,0
2017-05-18,목,서울 잠실 야구장,맑음,26.9℃,10104,0
2017-05-19,금,서울 잠실 야구장,맑음,27.9℃,19653,0
2017-05-20,토,서울 잠실 야구장,구름조금,27.3℃,23898,0
2017-05-21,일,서울 잠실 야구장,구름조금,27.6℃,22054,0
2017-05-24,수,서울 잠실 야구장,비,27.8℃,20334,0
2017-05-25,목,서울 잠실 야구장,맑음,24.4℃,20442,0
2017-05-26,금,서울 잠실 야구장,맑음,23.2℃,12763,0
2017-05-27,토,서울 잠실 야구장,맑음,26.4℃,20177,0
2017-05-28,일,서울 잠실 야구장,맑음,27.9℃,15159,0
2017-05-30,화,서울 잠실 야구장,구름많음,30.3℃,9520,0
2017-05-31,수,서울 잠실 야구장,구름조금,29.6℃,10290,0
2017-06-01,목,서울 잠실 야구장,구름조금,27℃,10720,0
2017-06-02,금,서울 잠실 야구장,구름조금,25.6℃,11227,0
2017-06-03,토,서울 잠실 야구장,맑음,26.5℃,19180,0
2017-06-04,일,서울 잠실 야구장,맑음,28.1℃,14832,0
2017-06-06,화,서울 잠실 야구장,비,23.9℃,21253,0
2017-06-07,수,서울 잠실 야구장,비,19.2℃,9149,0
2017-06-08,목,서울 잠실 야구장,구름조금,25.9℃,10260,0
2017-06-09,금,서울 잠실 야구장,비,25.7℃,11023,0
2017-06-10,토,서울 잠실 야구장,비,27.5℃,18293,0
2017-06-11,일,서울 잠실 야구장,맑음,29.6℃,13837,0
2017-06-13,화,서울 잠실 야구장,구름많음,25.9℃,14565,0
2017-06-14,수,서울 잠실 야구장,맑음,26.8℃,16136,0
2017-06-15,목,서울 잠실 야구장,맑음,29.6℃,16791,0
2017-06-16,금,서울 잠실 야구장,맑음,32.7℃,10226,0
2017-06-17,토,서울 잠실 야구장,맑음,29.9℃,18215,0
2017-06-18,일,서울 잠실 야구장,맑음,31.8℃,13271,0
2017-06-20,화,서울 잠실 야구장,구름많음,32.7℃,13098,0
2017-06-21,수,서울 잠실 야구장,구름조금,31.6℃,13250,0
2017-06-22,목,서울 잠실 야구장,구름조금,30.4℃,14197,0
2017-06-23,금,서울 잠실 야구장,구름조금,34.1℃,16262,0
2017-06-24,토,서울 잠실 야구장,비,27.8℃,22406,0
2017-06-25,일,서울 잠실 야구장,비,28.4℃,13870,0
2017-06-27,화,서울 잠실 야구장,구름많음,30.5℃,8079,0
2017-06-28,수,서울 잠실 야구장,구름많음,30.5℃,7887,0
2017-06-29,목,서울 잠실 야구장,구름조금,31.5℃,10129,0
2017-06-30,금,서울 잠실 야구장,구름조금,30.9℃,24204,0
2017-07-01,토,서울 잠실 야구장,비,30.7℃,25000,0
2017-07-02,일,서울 잠실 야구장,비,26.8℃,19697,0
2017-07-04,화,서울 잠실 야구장,비,31.6℃,5747,0
2017-07-05,수,서울 잠실 야구장,구름조금,32.6℃,6148,0
2017-07-08,토,서울 잠실 야구장,비,27.6℃,18714,0
2017-07-09,일,서울 잠실 야구장,비,30.3℃,22129,0
2017-07-11,화,서울 잠실 야구장,비,30.9℃,7015,0
2017-07-12,수,서울 잠실 야구장,구름많음,31.1℃,6126,0
2017-07-13,목,서울 잠실 야구장,구름조금,32.1℃,7739,0
2017-07-18,화,서울 잠실 야구장,비,30.7℃,7361,0
